Species	Formula	CAS	Inchi	Enthalpy	T(K)_Enthalpy	E_mean	E_min	E_max	Pre-exponential_factor	Order_factor	Method	Origin	Reference	Type_of_surface	Description
C6	C6	129066-00-8	InChI=1S/C6/c1-3-5-6-4-2	1227.3±8	298	4800	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C5 + C. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C6-	C6-	NoData	InChI=1S/C6/c1-3-5-6-4-2/q-1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C6+	C6+	NoData	InChI=1S/C6/c1-3-5-6-4-2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CH2NH2	CH2NH2	10507-29-6	InChI=1S/CH4N/c1-2/h1-2H2	148.743±1.01	298	5534	0	0	0.00E+0	1	Estimation	Bibliography	Ruaud,M.etal.;2015;MonthlyNoticesofTheRoyalAstronomicalSociety;447,4004-4017	H2O	  The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
CH3CO	CH3CO	15762-07-9	InChI=1S/C2H3O/c1-2-3/h1H3	-10.3±0.41	298	2650	0	0	0.00E+0	1	Estimation	Bibliography	Ruaud,M.etal.;2015;MonthlyNoticesofTheRoyalAstronomicalSociety;447,4004-4017	H2O	  The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
CH3CS+	CH3CS+	NoData	InChI=1S/C2H3S/c1-2-3/h1H3/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CH3NH	CH3NH	49784-84-1	InChI=1S/CH4N/c1-2/h2H,1H3	178.556±0.89	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CH3O2+	CH3O2+	NoData	InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)/p+1	1008.7±2.4	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CH3SH	CH3SH	74-93-1	InChI=1S/CH4S/c1-2/h2H,1H3	-22.8	300	4000±1200	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
CH2NH2+	CH4N+	54088-53-8	InChI=1S/CH4N/c1-2/h1-2H2/q+1	758.317±1.75	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CH3OH	CH4O	67-56-1	InChI=1S/CH4O/c1-2/h2H,1H3	-200.94±0.18	298	5000±1500	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
CH3OH	CH4O	67-56-1	InChI=1S/CH4O/c1-2/h2H,1H3	-200.94±0.18	298	5534	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This value was deduced from Collings et al. (2004). This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
CH3OH+	CH4O+	12538-91-9	InChI=1S/CH4O/c1-2/h2H,1H3/q+1	852.493±0.33	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CH5+	CH5+	NoData	InChI=1S/CH5/h1H5/q+1	917.22±0.5	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CH3NCO	C2H3NO	624-83-9	InChI=1S/C2H3NO/c1-3-2-4/h1H3	NoData	NoData	4700±1410	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
CH3NCO+	C2H3NO+	NoData	InChI=1S/C2H3NO/c1-3-2-4/h1H3/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CH3CNH+	C2H4N+	73843-91-1	InChI=1S/C2H4N/c1-2-3/h3H,1H3/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CH3CHO	C2H4O	75-07-0	InChI=1S/C2H4O/c1-2-3/h2H,1H3	-166.19±0.32	298	5400±1620	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
CH3CHO	C2H4O	75-07-0	InChI=1S/C2H4O/c1-2-3/h2H,1H3	-166.19±0.32	298	2450	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of CH4+CO The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C2H4O+	C2H4O+	NoData	InChI=1S/C2H4O/c1-2-3/h2H,1H3/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C2H5	C2H5	2025-56-1	InChI=1S/C2H5/c1-2/h1H2,2H3	119.7±0.36	298	3100±930	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
C2H5	C2H5	2025-56-1	InChI=1S/C2H5/c1-2/h1H2,2H3	119.7±0.36	298	3937	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C2H4 + H. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C2H5+	C2H5+	14936-94-8	InChI=1S/C2H5/c1-2-3-1/h1-2H2/q+1	909.095±0.41	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C3H2CN	C3H2CN	NoData	InChI=1S/C4H2N/c1-2-3-4-5/h1H2	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CH2CHCN	C3H3N	107-13-1	InChI=1S/C3H3N/c1-2-3-4/h2H,1H2	184.037±8	298	5480	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 HC3N+H+H The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C3H3N+	C3H3N+	NoData	InChI=1S/C3H3N/c1-2-3-4/h2H,1H2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CH3CCH	C3H4	74-99-7	InChI=1S/C3H4/c1-3-2/h1H,2H3	190.92±0.37	298	3800±1140	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
CH3CCH	C3H4	74-99-7	InChI=1S/C3H4/c1-3-2/h1H,2H3	190.92±0.37	298	4287	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C3H3+H The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
CH2CCH2	C3H4	463-49-0	InChI=1S/C3H4/c1-3-2/h1-2H2	NoData	NoData	3000±900	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
C3H4+	C3H4+	65812-77-3	InChI=1S/C3H4/c1-3-2/h1-2H2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C4H3	C4H3	NoData	InChI=1S/C4H3/c1-3-4-2/h1-3H	543.104±8	298	4637	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C4H2+H The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C4H3+	C4H3+	NoData	InChI=1S/C4H3/c1-3-4-2/h1H,2H2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C4N2H+	C4N2H+	NoData	InChI=1S/C4N2/c5-3-1-2-4-6/p+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C5H2	C5H2	NoData	InChI=1S/C5H2/c1-3-5-4-2/h1H2	691.299	298	4987	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C5H+H The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C5H2+	C5H2+	103928-85-4	InChI=1S/C5H2/c1-3-5-4-2/h1H2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HC5N+	C5HN+	74941-84-7	InChI=1S/C5HN/c1-2-3-4-5-6/h1H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C6H	C6H	88053-50-3	InChI=1S/C6H/c1-3-5-6-4-2/h1H	1000±75	298	5337	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C5H+C The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C6H-	C6H-	NoData	InChI=1S/C6H/c1-3-5-6-4-2/h1H/q-1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C6H+	C6H+	NoData	InChI=1S/C6H/c1-3-5-6-4-2/h1H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C6N	C6N	129066-34-8	InChI=1S/C6N/c1-2-3-4-5-6-7	NoData	NoData	5600	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of CN + 5C. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C6N+	C6N+	NoData	InChI=1S/C6N/c1-2-3-4-5-6-7/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C7	C7	129066-01-9	InChI=1S/C7/c1-3-5-7-6-4-2	1322.34±8	298	5600	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C6 + C. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C7-	C7-	64886-38-0	InChI=1S/C7/c1-3-5-7-6-4-2/q-1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C7+	C7+	NoData	InChI=1S/C7/c1-3-5-7-6-4-2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CH3CHS	CH3CHS	NoData	InChI=1S/C2H4S/c1-2-3/h2H,1H3	50±8	300	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CH3SH2+	CH3SH2+	NoData	InChI=1S/CH4S/c1-2/h2H,1H3/p+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CH3NH2	CH5N	74-89-5	InChI=1S/CH5N/c1-2/h2H2,1H3	-20.91±0.53	298	6584	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of CH2+NH3 The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
CH3NH2+	CH5N+	NoData	InChI=1S/CH5N/c1-2/h2H2,1H3/q+1	859.387±2.28	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CH3OH2+	CH5O+	NoData	InChI=1S/CH4O/c1-2/h2H,1H3/p+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C2H3NH2	C2H3NH2	593-67-9	InChI=1S/C2H5N/c1-2-3/h2H,1,3H2	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CH3NCOH+	C2H4NO+	NoData	InChI=1S/C2H4NO/c1-3-2-4/h1H3,(H,3,4)/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C2H5N+	C2H5N+	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CH3CHOH+	C2H5O+	NoData	InChI=1S/C2H5O/c1-2-3/h2H2,1H3/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C2H6	C2H6	74-84-0	InChI=1S/C2H6/c1-2/h1-2H3	-83.852±0.2	298	1600±480	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
C2H6	C2H6	74-84-0	InChI=1S/C2H6/c1-2/h1-2H3	-83.852±0.2	298	4387	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C2H5 + H. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C2H6+	C2H6+	34488-65-8	InChI=1S/C2H6/c1-2/h1-2H3/q+1	1036.13±0.6	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C3H3NH+	C3H4N+	NoData	InChI=1S/C3H4N/c1-2-3-4/h2,4H,1H2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C2H3CHO	C3H4O	107-02-8	1S/C3H4O/c1-2-3-4/h2-3H,1H2	-67	0	5400±1620	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
C3H5	C3H5	1981-80-2	InChI=1S/C3H5/c1-3-2/h3H,1-2H2	168.6±1.5	298	3100±930	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
C3H5	C3H5	1981-80-2	InChI=1S/C3H5/c1-3-2/h3H,1-2H2	168.6±1.5	298	4737	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C3H4+H The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C3H5+	C3H5+	50457-58-4	InChI=1S/C3H5/c1-3-2/h3H,1-2H2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C4H2CN	C4H2CN	NoData	InChI=1S/C5H2N/c1-2-3-4-5-6/h1-2H	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C4H4	C4H4	689-97-4	InChI=1S/C4H4/c1-3-4-2/h1,4H,2H2	287.859±8	298	5087	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C4H3+H The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C4H4+	C4H4+	34531-09-4	InChI=1S/C4H4/c1-3-4-2/h1,4H,2H2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HC5NH+	C5H2N+	NoData	InChI=1S/C5HN/c1-2-3-4-5-6/h1H	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C5H3	C5H3	NoData	InChI=1S/C5H3/c1-3-5-4-2/h1H,2H2	602.58	298	5437	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C5H2 + H. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C5H3+	C5H3+	NoData	InChI=1S/C5H3/c1-3-5-4-2/h1H,2H2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C6H2	C6H2	3161-99-7	InChI=1S/C6H2/c1-3-5-6-4-2/h1-2H	700.82	298	5787	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C6H+H The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C6H2+	C6H2+	61866-06-6	InChI=1S/C6H2/c1-3-5-6-4-2/h1-2H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C7H	C7H	129066-03-1	InChI=1S/C7H/c1-3-5-7-6-4-2/h1H	NoData	NoData	6137	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C6H+C The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C7H-	C7H-	NoData	InChI=1S/C7H/c1-3-5-7-6-4-2/h1H/q-1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C7H+	C7H+	NoData	InChI=1S/C7H/c1-3-5-7-6-4-2/h1H/Q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C7N	C7N	123219-80-7	InChI=1S/C7N/c1-2-3-4-5-6-7-8	NoData	NoData	6400	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C5N+C+C The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C7N+	C7N+	NoData	InChI=1S/C7N/c1-2-3-4-5-6-7-8/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C7O	C7O	NoData	NoData	NoData	NoData	5950	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of CO + 6C. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C8	C8	107603-01-0	InChI=1S/C8/c1-3-5-7-8-6-4-2	1458.866	298	6400	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C7 + C. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C8-	C8-	130390-64-6	InChI=1S/C8/c1-3-5-7-8-6-4-2/q-1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C8+	C8+	NoData	InChI=1S/C8/c1-3-5-7-8-6-4-2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CH3C3N	CH3C3N	13752-78-8	InChI=1S/C4H3N/c1-2-3-4-5/h1H3	NoData	NoData	6480	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C3H3N+C The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
CH3CHSH+	CH3CHSH+	NoData	InChI=1S/C2H6S/c1-2-3/h3H,2H2,1H3/p+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CH3OCH2	CH3OCH2	16520-04-0	InChI=1S/C2H5O/c1-3-2/h1H2,2H3	NoData	NoData	3500	0	0	0.00E+0	1	Estimation	Bibliography	Ruaud,M.etal.;2015;MonthlyNoticesofTheRoyalAstronomicalSociety;447,4004-4017	H2O	  The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
CH3NH3+	CH6N+	NoData	InChI=1S/CH5N/c1-2/h2H2,1H3/p+1	615.9±2.44	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
COOCH4+	COOCH4+	NoData	InChI=1S/C2H4O2/c1-2(3)4/h3H,1H3/q+1	888.25±5.5	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CH3CH2OH	C2H5OH	64-17-5	InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3	-234.95±0.22	298	5400±1620	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
CH3CH2OH	C2H5OH	64-17-5	InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3	-234.95±0.22	298	6584	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of CH3OH+CH2 The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C2H5OH+	C2H5OH+	NoData	InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3/q+1	784.495±0.74	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C2H7+	C2H7+	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C3H5N+	C3H5N+	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CH3CHCH2	C3H6	115-07-1	InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3	20±0.33	298	3100±930	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
CH3CHCH2	C3H6	115-07-1	InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3	20±0.33	298	5187	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C3H5+H The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C3H6+	C3H6+	115-07-1	InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C4H3CN	C4H3CN	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
H3C4NH+	C4H4N+	NoData	InChI=1S/C4H3N/c1-2-3-4-5/h1H3/p+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C4H5	C4H5	3315-45-2	InChI=1S/C4H5/c1-3-4-2/h1,4H,2H3	363.339±8	298	5537	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C4H4+H The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C4H5+	C4H5+	NoData	InChI=1S/C4H5/c1-3-4-2/h1H2,2H3/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C5H3N+	C5H3N+	NoData	InChI=1S/C5H3N/c1-2-3-4-5-6/h1H3/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
